epoch,step,test_acc,test_f1,test_loss,train_acc_epoch,train_f1_epoch,train_loss_epoch,val_acc,val_f1,val_loss
0,10,,,,,,,0.41111111640930176,0.4536082446575165,1.1494649648666382
0,10,,,,0.4375,0.46630728244781494,1.261116862297058,,,
1,21,,,,,,,0.43888887763023376,0.45989304780960083,1.0929921865463257
1,21,,,,0.4375,0.4648648500442505,1.1580333709716797,,,
2,32,,,,,,,0.4555555582046509,0.46739131212234497,1.041632890701294
2,32,,,,0.4957386255264282,0.513031542301178,1.0454210042953491,,,
3,43,,,,,,,0.4833333194255829,0.49180328845977783,0.9941772222518921
3,43,,,,0.5085227489471436,0.5220994353294373,1.0394295454025269,,,
4,44,0.4732142984867096,0.5123966932296753,1.1694673299789429,,,,,,
